First Name,Last Name,Gender,Imprint,Trade,Additional Print Agent (STC),Title Page Author,Author First Name,Author Last Name,Additional Authors,Title,Alternate Titles,Genre,Year,Total Paratexts,Paratext Title,Paratext Type,Dedicatee,Assumed Dedicatee Gender,Illustration,STC No,Additional Paratexts,Notes,Copy From,Source
Thomas,Newman,Male,London: Printed by J. C. for Thomas Gubbin and Thomas Newman,Bookseller,John Charlewood | Thomas Gubbin,John Boccace |  B. Giovano del M. Temp,Giovanni,Boccaccio,Bartholomew Yong,"Amorous Fiammetta wherein is sette downe a catologue [sic] of all an singuler passions of love and jealosie, incident to an enamored yong gentlewoman, with a notable caueat for all women to eschewe deceitfull and wicked loue, by an apparant example of a Neapolitan lady, her approved & long miseries, and wyth many sounde dehortations from the same. First wrytten in Italian by Master John Boccace, the learned Florentine, and poet laureat. And now done into English by B. Giovano del M. Temp. With notes in the margine, and with a table in the ende of the cheefest matters contayned in it.",Fiammetta,Prose | Novels | Translation,1587,3,"To the right worshipfull and vertuous Gentleman, Sir William Hatton Knight (Thomas Newman) | A Table of the contentes of the seven bookes of Fiammetta",Dedication | Table of Contents,William Hatton,Male,No,3179,To the noble and gallant Dames of the Cittie of Castale in Mon: Ferrato Gabriel Giolito,,The Huntington Library,EEBO
Edward,White,Male,"London: Imprinted by Iohn Wolfe for Edward White, dwelling at the little north doore of Paules, at the signe of the Gunne",Bookseller,John Wolfe,,L.,M.,Anon.,"Prepositas his practise a worke very necessary to be vsed for the better preseruation of the health of man. Wherein are not onely most excellent and approued medicines, receiptes, and ointmentes of great vertue, but also most pretious waters, against many infirmities of the body. The way how to make euery the said seuerall medicines, receiptes, and ointmentes. With a table for the ready finding out of euery the diseases, and the remedies for the same. Translated out of Latin into English by L.M.",Prepositas His Practice,Medicine | Translation,1588,2,To the Reader | A Table of all those medicines which be conteined in this Booke,To the Reader | Table of Contents,,,No,20180.7,,"""To the Reader"" is unsigned; presumed to be a note from either the translator or the publisher | Translator may be Leonard Mascall | Previously attributed to Nicolaus Myrepsus (STC) | In microfilm: STC 17977",The Huntington Library,EEBO
John,Harrison,Male,"Printed at London: for Iohn Harrison, 1588.",Bookseller,Thomas Dawson,,Cyprian,Lucar,Niccolò Tartaglia,"Three bookes of colloquies concerning the arte of shooting in great and small peeces of artillerie, variable randges, measure, and waight of leaden, yron, and marble stone pellets, minerall saltepeeter, gunpowder of diuers sortes, and the cause why some sortes of gunpower are corned, and some sortes of gunpowder are not corned: written in Italian, and dedicated by Nicholas Tartaglia vnto the Royall Prince of most famous memorie Henrie the eight, late King of England, Fraunce, and Ireland, defender of the faith &c. And now translated into English by Cyprian Lucar Gent. who hath also augmented the volume of the saide colloquies with the contents of euery colloquie, and with all the corollaries and tables, that are in the same volume. Also the said Cyprian Lucar hath annexed vnto the same three books of colloquies a treatise named Lucar Appendix",,Prose | Military | Shooting,1588,4,"To the right honorable, Robert earle of Leicester, baron of Denbigh, lord Steward of her majesties household, chiefe justice, in Oyer, of all her majesties forrests, parkes, chases, and warrens, by South Trent, and knight of the most honorable orders of the Garter, and Saint Michael in Fraunce, and one of the lords of her majesties most honorable privie counsell (John Harrison) | Amendments of faultes made in printing the three bookes of Colloquies. Amendments made in printing Lucar Appendix",Dedication | Errata,,,Yes,23689,"To the most puisant and mercifull prince Henrie the eight by the grade of God king of England, France, and Ireland (Nicholas Tartaglia) | Ad Lectorem (G.B. Cantabrigiensis)","Original sub title page on G5 with device McKerrow 236 is sometimes replaced by cancel bifolium with sub title page with cut of mortar shooting and errata on verso of 2nd leaf; both varieties in Harvard University. Library copy. Harvard also has cancel G3,4 with G3r line 5 from bottom ending ""saide"" instead of ""sayde"" as in the British Library copy--STC.",British Library,EEBO
Richard,Field,Male,Imprinted at London: By Richard Field dwelling in the Blacke Friers,Printer,,,Thomas,Fenner,,"The copie of a letter sent from sea by a gentleman who was employed in discoverie on the coast of Spaine by appointment of the generals of our English fleete, to a worshipfull friend of his. Aduertising him of such things as he came to knowledge of in the same discoverie.",,Epistolary,1589,1,To the gentle reader (R.F.),To the Reader,,,No,10653,,,British Library,EEBO
Richard,Field,Male,"At London: Printed by Richard Field, dwelling in the black-Friers, neere Ludgate",Printer,,,George,Puttenham,,"The arte of English poesie. Contriued into three bookes: the first of poets and poesie, the second of proportion, the third of ornament.",The Art of English Poesie,Poetry,1589,2,"To the right honorable sir William Cecill knight ... R. F. printer wisheth health and prosperitie .... | A Table of the Chapters in this booke, and every thing in them contayned",Dedication | Table of Contents,,,Yes,20519,,"Errors in paging: p. 93-100 omitted. Printer's device on t.p. (McK. 222), headpieces, printed marginalia, initials. (STC)",The Huntington Library,EEBO
John,Proctor,Male,"London: Printed by Roger Ward for John Proctor, and are to be solde at his shop Upon Holborne",Bookseller,Roger Ward,,Richard,Robinson,,"A golden mirrour conteining certaine pithie and figuratiue visions prognosticating good fortune to England and all true English subiectes, with an overthrowe to the enemies: whereto be adioyned certaine pretie poemes written on the names of sundrie both noble and worshipfull",,Poetry | Verse,1589,2,"To the honorable, lord gilbert talbot, sonne and heire to the right honorable, the earle of Shrewsbury, knight of the most noble order of the garter. increase of honour, and all felicitie (John Proctor)",Dedication,Gilbert Talbot,Male,No,21121.5,The author to the gentle reader,Formerly STC 2119,British Library,EEBO
Richard,Jones,Male,London: Printed by Richard Ihones: at the signe of the Rose and Crowne neere Holborne Bridge,Printer | Bookseller,,,Christopher,Marlowe,,"Tamburlaine the Great Who, from a Scythian shephearde, by his rare and woonderfull conquests, became a most puissant and mightye monarque. And (for his tyranny, and terrour in warre) was tearmed, the scourge of God. Deuided into two tragicall discourses, as they were sundrie times shewed vpon stages in the citie of London. By the right honorable the Lord Admyrall, his seruauntes. Now first, and newlie published",Tamburlaine the Great,Drama,1590,1,To the Gentlemen Readers and others that take pleasure in reading Histories,To the Reader,,,No,17425,,,The Huntington Library,EEBO
A.,Ryther,Male,"[Imprinted at London: By A. Hatfield, and are to be sold at the shop of A. Rither, being a little from Leaden hall next to the signe of the Tower, 1590]",Engraver | Bookseller,A. Hatfield,,Anon.,,Petruccio Ubaldini,"A discourse concerninge the Spanishe fleete inuadinge Englande in the yeare 1588 and overthrowne by Her Ma[ies]ties nauie under the conduction of the Right-honorable the Lorde Charles Howarde highe Admirall of Englande: written in Italian by Petruccio Vbaldino cicizen of Florence, and translated for A. Ryther: vnto the w[hi]ch discourse are annexed certaine tables expressinge the seuerall exploites, and conflictes had with the said fleete. These bookes with the tables belonginge to them are to be solde at the shoppe of A. Ryther beinge a little from Leaden hall next to the signe of the Tower.",A Discourse Concerning the Spanish Fleet,Military | Armada | Translation,1590,3,"To the right honorable, Charles, Lord Howard, Baron of Effingham, knight of the most noble order of the garter, lord high Admirall of England, and one of hir Majesties most Honorable privie Councell: A.R. wisheth long life in perfect heath, with great increase of honor (A. Ryther) | To the Reader (A. Ryther)",Dedication | To the Reader,"Charles Howard, I Earl of Nottingham",Male,No,24481,To the Reader (T. H. ),"Tables mentiononed in the epistle to the reader (engravings) were sold separately and are not included in EEBO document (""Expeditionis Hispanorum in Angliam vera descriptio anno Do: MDLXXXVIII"" (STC 24481a))",Harvard University Library,EEBO
Richard,Jones,Male,"At London: Printed by Richard Ihones, dwelling at the signe of the Rose and Crowne neere Hoburne Conduit",Printer,Thomas Orwin,,William,Segar,"The welspring of wittie conceites containing, a methode, aswell to speake, as to endight (aptly and eloquently of sundrie matters: as (also) see great varietie of pithy sentences, vertuous sayings, and right morall instructions ... Out of Italian, by W. Phist. student.",The Booke of Honor and Armes,,Prose | Knighthood,1590,2,"To the right honorable Sir Christopher Hatton, Knight of the most noble Order, and Lord Chancellor of England: Richard Johnes Printer, wisheth long life, with encrease of happiness | The Contents of this work divided into five bookes |",Dedication,Christopher Hatton,,No,22163,To the Reader,"""Probably a compilation by Richard Jones, the publisher, of material borrowed from Sir William Segar, Vincentio Saviolo, and others. Sometimes attributed to Segar, whose name appears on 2N3v. "" (EEBO)",The Huntington Library,EEBO
Gabriel,Simson,Male,London: Imprinted for G. S. and W. W.,Printer,Richard Watkins | William White,,Hugh,Broughton,,"A letter to a friende, touching Mardochai his age which helpeth much to holde the trueth, for that chiefe prophecie of our saluation, in Gabriels seventies, which shew that most exactly 490. yeeres after the angels speech Christ the most holy should be killed to give life. Dan 9.23",,Religion | Bible,1590,1,The printer to the reader,To the Reader,,,No,3869,,Williams conjectures that epistle to the reader may be by Simson or White.,The Huntington Library,EEBO
John,Charlewood,Male | Female,"At London : Printed by I. Charlewood, for the widdowe Broome, 1591.",Printer,Joan Broome,,John,Lyly,,"Endimion, the man in the moone Playd before the Queenes majestie at Greenewich on Candlemas day at night, by the Chyldren of Paules.",Endimion,Drama,1591,1,The Printer to the Reader,To the Reader,,,No,17050,,Paratext author assumed by Williams,The Huntington Library,EEBO
Richard,Jones,Male,"Imprinted at London: By Richard Ihones, at the Rose and Crowne neere Holborne Bridge",Printer | Bookseller,,N.B.,Nicholas,Breton,,"Brittons bowre of delights Contayning many, most delectable and fine deuices, of rare epitaphes, pleasant poems, pastorals and sonets by N.B. Gent.",Breton's Bower of Delights,Verse | Poetry,1591,1,To the Gentlemen Readers (R.I. Printer),To the Reader,,,No,3633,Jones also the likely compiler and editor.,See STC 3683 for Breton's complaint against this allegedly misattributed volume of poetry.,The Huntington Library,EEBO
Richard,Jones,Male,Imprinted at London: By Richard Jhones,Printer | Bookseller,,S.R.,Simon,Robson,Bengalassa del Mont. Prisacchi Retta,"The court of ciuill courtesie Fitlie furnished with a pleasant port of stately phrases and pithy precepts: assembled in the behalfe of all young gentlemen, and others, that are desirous to frame their behauiour according to their estates, at all times, and in all companies. Thereby to purchase worthy praise of their inferiours: and estimation and credite among their betters. Out of the Italian, by S.R. gent.",The Courte of Civill Courtesie,Prose | Conduct | Translation,1591,2,"To the flourishing Youthes, and Courteous young Gentlemen of England, R.I. the Printer hereof, wisheth an happie New yeere present and many to the pleasure of God and their owne hartes desires",To the Reader,,,No,21136,"Bengalassa del Mont. Prisacchi Retta, unto Seig. Princiseo Ganzar Moretta. For his behaviour. vz.",Translation is attributed to Simon Robson (ESTC). | See also STC 21134.5 and 21135,British Library,EEBO
John,Burby,Male,"At London: Printed by William Hoskins & Iohn Danter, for John Busbie",Bookseller,William Hoskins | John Danter,,Thomas,Lodge,,"Catharos. Diogenes in his singularitie Wherein is comprehended his merriebaighting fit for all mens benefits: christened by him, a nettle for nice noses.",Catharos,Prose,1591,2,"To the Right Worshipfull Syr John Hart Knight, all health and happines (John Busbie)",Dedication,John Hart,,No,16654,Diogenes to such as are disposed to Reade,,The Huntington Library,EEBO
William,Kearney,Male,London: Imprinted by William Kearney dwelling in Adlingstreete,Printer,,Claudius Paradin | P. S.,P.,S.,Claude Paradin,The heroicall deuises of M. Claudius Paradin Canon of Beauieu. Whereunto are added the Lord Gabriel Symeons and others. Translated out of Latin into English by P.S.,The Heroicall Devises of M. Claudius Paradin,Emblems | Translation,1591,2,"To the right worshipfull the renowmed capteine Christopher Carleill esquier, chiefe commander of her majesties forces in the province of Ulder in the realm of Ireland, and seneshall there of the countries of Clandeboy, the Rowte, the Glins, the Duffre, and Kylultaugh (William Kearney)",Dedication,Christopher Carleill,,Yes,19183,"To the most worthie knight Theodot of Marze, lord of Belleroche, Laffenaz, &tc Claudius Paradin sendeth greeting",,University of Illinois Library,EEBO
Thomas,Newman,Male,At London: Printed for Thomas Newman,Bookseller,John Charlewood,,Phillip,Sidney,Thomas Nash | Samuel Daniel,"Syr P.S. His Astrophel and Stella Wherein the excellence of sweete poesie is concluded. To the end of which are added, sundry other rare sonnets of diuers noble men and gentlemen.",Astrophel and Stella,Verse,1591,2,"To the worshipfull and his very good freende, Ma. Frauncis Flower esquire, icrease of all content (Tho. Newman)",Dedication,Francis Flower,,No,22536,Somewhat to reade for them that list (Thomas Nash),,British Library,EEBO
Thomas,Purfoot,Male,None,Printer,,,Francesco,Guicciardini,,"A briefe collection or epitomie of all the notable and material things containedin the hystorie of Guicchiardine being verie necessarie for Parliament, councell,treatises, and negotiations.",A briefe collection or epitomie,Pamphlet | Politics,1591,1,To the Right Worshipful Sir Henrie Brooke Cobham Knight,Dedication,,,No,12461,,Lacking title page,Folger Shakespeare Library,EEBO
Robert,Waldegrave,Male,"Edinburgh: Printed by Robert Walde-grave, printer to the Kings majestie",Printer,,,Anonymous,,,"The sacrifice of a Christian soule conteining godlie prayers, and holy meditations for sundry purposes; drawne out of the pure fountaines of the sacred Scriptures",,Religion | Prayers,1591,2,"To the honorable, noble, and potent lord John, Lorde Thirlslane, great chancellor of Scotland and the noble, vertuous, and godly lady, Dame Jane Flemeng, Ladie Thirlstane his wife: grace and pease in Christ Jesus | A Table of the Prayers Contained in this booke",Dedication | Table of Contents,John Maitland,Male,No,5192,,,British Library,EEBO
Thomas,Nelson,Male,"London: for Thomas Nelson, and are to be sold at his shop at the great south doore of Paules",Bookseller,Thomas Scarlet,W. P.,Anonymous,,,The troubles of Geneva with the warres which the Duke of Sauoy hath made against it these three yeeres space. And the great victories which God hath lately giuen to the citizens of Geneva. Trulie translated according to the French copie. by W.P.,,History,1591,1,To the right honourable the Lordes of her Highnesse most Honorable Privie Councell (T. N.),Dedication,The lords of the Privy Council,Male,No,11727,,,Folger Shakespeare Library,EEBO
William,Ponsonby,Male,"London: Imprinted for William Ponsonbie, dwelling in Paules Churchyard at the signe of the Bishops head",Bookseller,,Ed. Sp.,Edmund,Spenser,,Complaints Containing sundrie small poemes of the worlds vanitie. whereof the next page maketh mention. By Ed. Sp,Complaints,Poetry | Verse,1591,3,A note of the sundrie Poemes contained in this Volume | The Printer to the Gentle Reader.,Table of Contents | Printer to the Reader,,,No,23078,"Dedicated To the right Noble and beautifull Ladie, the La. Marie Countesse of Pembrooke.",,The Huntington Library,EEBO
Cuthbert,Burby,Male,"At London: Printed for Cutbert Burbie, and are to be sold at the middle shop in the Poultry, under Saint Mildreds Church",Bookseller,J. Danter,,Robert,Greene,,"The repentance of Robert Greene Maister of Artes. Wherein by himselfe is laid open his loose life, with the manner of his death",The repentance of Robert Greene,Prose,1592,2,"The Printer to the Gentlemen Readers (Yours, C.B.)",To the Reader,,,No,12306,To all the wanton youths of England: Robert Greene wisheth reformation of willfulnes,"Bound with Mamillia. A Mirrour or looking-glasse for the Ladies of Englande (Imprinted at London for Thomas Woodcocke, 1583)",Bodleian Library,EEBO
Richard,Jones,Male,"London: Imprinted by Richard Ihones, dwelling at the Signe of the Rose and Crowne, nere Holburne Bridge",Printer | Bookseller,J. Charlewood,Thomas Nash,Thomas,Nash,,"Pierce Penilesse his supplication to the diuell Describing the over-spreading of vice, and suppression of vertue. Pleasantly interlac't with variable delights: and pathetically intermixt with conceipted reproofes. Written by Thomas Nash Gentleman.",Piece Peniless,Prose,1592,1,The Printer to the Gentlemen Readers (R.I.),To the Reader,,,No,18371,,,British Library,EEBO
John,Windet,Male,"London: Printed by Iohn Windet, and are to be sold at the shop of Andrew Maunsell, in the Royall Exchaunge",Printer,Andrew Maunsell,,Thomas,Stoker,John Calvin,"Sermon of Maister John Calvin, on the historie of Melchisedech Wherein is also handled, Abrahams courage in rescuing his nephew Lot: and his Godliness in paying tithes to Melchisedech. Also, Abrahams faith, in belieuing God: comprehending foure sermons. And, Abrahams obedience, in offering his sonne Isaack; in three sermons. Translated out of French, by Thomas Stocker, Gent.",Sermons,Religion | Devotional,1592,1,Faultes escaped in the printing,Errata,,,No,4440,To the right honorable syr Robert Cycill Knight (Thomas Stocker) | The translator to the Christian reader,,British Library,EEBO
Thomas,East,Male,"Imprinted at London: By Thomas Est, the assigné of William Byrd: dwelling in Aldersgate streete at the signe of the black Horse, and are there to be sold",Printer,William Byrd,,Thomas,Sternhold,John Hopkins,"The whole booke of Psalmes with their wonted tunes, as they are song in churches, composed into foure parts: all which are so placed that foure may sing, ech one a seueral part in this booke. wherein the church tunes are carefully corrected, and thereunto added other short tunes vsually song in London, and other places of this realme. with a table in the end of the booke, of such tunes as are newly added, with the number of ech Psalme placed to the said tune. Compiled by sondry authors, who haue so laboured herein, that the vnskilfull with small practice may attaine to sing that part, which is fittest for their voice.",Whole Book of Psalms,Devotional | Psalms,1592,3,"To the right horable sir John Puckering knight lord keeper of the great seale of England (Thomas Est) | The Preface (T.E.) | A Table for the number of the whole psalmes, and also in what leafe you may finde every of them",Dedication | To the Reader | Index,John Puckering,,No,2482,,See STC 2515 and 2488 for other edition,Cambridge Library,EEBO
Thomas,Newman,Male,"Imprinted at London for Thomas Newman, and are to be sould at his shop in Fleetestreete, in Saint Dunstons Churchyard",Bookseller,Edward Allde,Greene,Robert,Greene,,Greenes vision written at the instant of his death. Conteyning a penitent passion for the folly of his pen,,Prose | Novels,1592,2,"To the right worshipfull and his especiall good friend, M. Nicholas Sanders of Ewell Esquier, T. Newman wisheth all felicitie (T. Newman)",Dedication,Nicholas Sanders,Male,No,12261,"To the Gentlemen Readers, Health",,The Huntington Library,EEBO
Richard,Smith,Male,"London: Printed by John Charlwood for Richard Smith: and are to be sold at his shop, at the west doore of Paules",Bookseller,John Charlewood,,Lancelot,Andrewes,,"The wonderfull combate (for Gods glorie and mans saluation) betweene Christ and Satan Opened in seven most excellent, learned and zealous sermons, upon the temptations of Christ, in the wilderness, &c. Seene and allowed.",The Wonderful Combat,Religion,1592,2,To the Christian reader,To the Reader,,,No,629,"To the right honorable, Sir John Puckering, knight, lord keeper of the great seale of England, and one of her highnes most honorable privie councell: after all terrestriall blessings and joyes, the perfect possession of all celestiall comforts hartely wished",Unsigned. Author of preface to the reader conjectured by Williams.,Bodleian Library,EEBO
John,Danter,Male,"Printed at London: By Iohn Danter, and are to be sold by William Barley at his shop in Gratious-streete over against Leaden-Hall",Printer,,,Henry,Smith,,Gods arrowe against atheists. By Henrie Smith,God's Arrow,Devotional | Controversy,1593,1,"To the right worshipful, vertuous and godly Ladie Katherine Hayward (John Danter)",Dedication,Katherine Hayward | Katherine Scott,,No,22666,,,British Library,EEBO
Henry,"Charteris, the elder",Male,Imprentit at Edinburgh: Be Henrie Charteris,Printer,,,Henry,Minstrel,,"The lyfe and actis of the maist illuster and vailzeand campioun, william Wallace, Knicht of Ellerslie, mainteiner and defender of the libertie of Scotland",Wallace,Poetry,1594,1,"Unto the gentil reider, Henrie Carteris wishis prosperous health, lang [sic] life, and perpetuall felicitie | The Table",To the Reader | Table of Contents,,,No,13150,,,The Huntington Library,EEBO
John,Danter,Male,"Printed at London: By Iohn Danter, and are to be sold at his house in hosier-lane nere holbourne-conduit",Printer,,,Nicholas,Breton,Richard Barnfield,Greenes funeralls. By RB. Gent,Green's Funeral,Poetry,1594,1,"To the gentlemen readers, health",To the Reader,,,No,1487,,,Bodleian Library,EEBO
Christopher,Hunt,Male,London: Imprinted by Iohn Windet for Christopher Hunt of Exceter,Bookseller,John Windet,,R.,C.,Torquato Tasso,"Godfrey of Bulloigne, or the recoverie of Hierusalem An heroicall poeme written in Italian by Seig. Torquato Tasso, and translated into English by R. C. Esquire: and now the first part containing fiue cantos, imprinted in both languages.",Jerusalem,Poetry | Translation,1594,1,To the Reader,To the Reader,,,No,23697,,,Folger Shakespeare Library,EEBO
Tobie,Cooke,Male,"London: Printed for Iohn Hardie, dwelling in Paules Church-yard at the signe of the Tygers head",Printer,John Hardy,,William,Burton,,"Conclusions of peace, betweene God and man containing comfortable meditations for the children of God. By W. Burton.",,Devotional,1594,1,"To the right honourable, Sir Richard Martin (Thobie Cooke)",Dedication | Absent Author,,,No,4169,,"Cooke identified as ""bookseller"" in Williams",Folger Shakespeare Library,EEBO
Tobie,Cooke,Male,"London: Printed for John Hardie, dwelling in Paules Churchyard at the signe of the Tygers head",Bookseller,John Hardy,W. Burton,William,Burton,,"Conclusions of peace, betweene God and man containing comfortable meditations for the children of God",,Religion | Meditations,1594,1,"To the right honourable, Sir Richard Martin, Knight, nowe the second time L. Maior of the honourable Cittie of London, and maister of her majesties Mint. T. C. All increase of honor in this life, and in the world to come, euerlasting happinesse",Dedication,"Richard Martin, Lord Mayor",Male,No,4169,,Cooke conjectured to be bookseller by Williams,Folger Shakespeare Library,EEBO
Richard,Sergier,Male,London: By P. S. for Richard Serger,Bookseller,P. Short,,Anonymous,,,The present state of Spaine. Translated out of French,,History | Translation,1594,1,"To the worthie and favoror of all vertues, master Richard Sonds, sonne and heire to the right worshipfull, master Sondes esquier (Richard Sergier)",Dedication,Richard Sonds,Male,No,22996,,,Newberry Library,EEBO
Thomas,Creed,Male,"London: Printed by Tho. Creede, and are to be sold by William Barley, at his shop in Gratious streete",Printer,William Barley,,William,Warner,Plautus,"Menaecmi A pleasant and fine conceited comaedie, taken out of the most excellent wittie poet Plautus: chosen purposely from out the rest, as least harmefull, and yet most delightfull. Written in English, by w.w.",Menaechmi,Drama,1595,1,The Printer to the Readers in generall (A3r),To the Reader,,,No,20002,,,The Huntington Library,EEBO
William,Jones,Male,"London: Printed by Iohn Danter, for William Jones",Printer | Bookseller,John Danter,,Richard,Greenham,,"A most sweete and assured comfort for all those that are afflicted in consciscience, or troubled in minde. Written by that godly & zealous preacher, M. Richard Greenham. With two comfortable letters to his especiall friends that way greeued",,Devotional,1595,2,"To the right worshipfull Sir Drue Drurie, knight: W.I. wisheth continuall peace of conscience (W.I.) | To the Reader (Thine, W.I.)",Dedication | To the Reader | Verse | Table of Contents,Drue Drury,,No,12321,,,British Library,EEBO
William,Blackwall,Male,"London: Printed for William Blackwall, dwelling over against Guildhall Gate",Bookseller,,,Otto,Werdmuller,Miles Coverdale | Lady Jane Grey,"A moste fruitfull, pithie, and learned treatyse, how a Christian man ought tobehave himselfe in the danger of death: and how they are to be releved and comforted, whose deare freendes are departed out of this world, moste necessarye for this our unfortunate age and sorrowfull dayes","A moste fruitfull, pithie, and learned treatyse",Religion,1595,3,"To the right worshipfull M. John Mannors of Hadon, in the Countrie of Darby | The contents of the first booke",Dedication | Table of Contents,John Manners,,No,25254,The Preface to the Reader,,Bodleian Library,EEBO
William,Barley,Male,"London: Printed by A. J. for william Barley, and are to be solde at his shop in Gratious streete, neere Leaden hall",Bookseller,Abel Jeffes,,Richard,Hasleton,,"Strange and wonderfull things. Happened to Richard Hasleton, borne at Braintree in Essex, in his ten yeares trauailes in many forraine countries. Penned as he delivered it from his owne mouth",Strange and wonderfull things,Travel,1595,1,"To the worshipfull maister Richard Stapar, one of the worshipfull companie of the marchants adventurers, of this honoourable citie of London, trading to Turkie and the easterne kingdomes. Your worships faithfull welwiller W. Barley, wisheth all fortunate and hapie successe in all your enterprises, with encrease of all worldy worship: and after death the joyes unspeakable",Dedication,Richard Stapar,Male,Yes,12925,,,The Huntington Library,EEBO
William,Ponsonby,Male,London: Printed for William Ponsonby,Bookseller,P. Short,Edmund Spenser,Edmund,Spenser,,Amoretti and Epithalamion. Written not long since by Edmunde Spenser,,Poetry | Verse,1595,2,To the Right Worshipfull Sir Robart Needham Knight,Dedication,Robert Needham,Male,No,23076,"G: W. senior, to the Author",,The Huntington Library,EEBO
James,Roberts,Male,None,Printer,,H. C.,Henry,Constable,,"Diana. Or, The excellent conceitful sonnets of H.C. Augmented with diuers quatorzains of honorable and learned personages. Devided into viij. decads",Diana,Poetry | Verse,1595,2,The printer to the reader,To the Reader,,,No,5638.3,Unto her majesties sacred honorable maydes,"Identified as STC 5638 on UMI microfilm, which also includes note to the reader | Printers' names and publication date conjectured by STC (imprint of only surviving title page is cropped)",The Huntington Library,EEBO
William,Jones,Male,"Imprinted at London: By G. S. for W. Iones, and are to be solde at the signe of the Gunne neare Holborne Conduit",Bookseller,G. Simson,John More,John,More,,"A liuely anatomie of death wherein you may see from whence it came, what it is by nature, and what by Christ. Togeather with the power, strength, and sting thereof: as also a preparatiue against the same. Tending to teach men to lyue, and die well to the Lord. By Iohn More, preacher of the Gospel.",A Lively Anatomie of Death,Religion | Death,1596,2,The printer to the reader,To the Reader,,,No,18073,"To the worshipfull M. Thomas South, esquire. The fulnes of comfort in Christ our Saviour, for his deceased father (Wiliam Barforde)",,British Library,EEBO
Henry,"Charteris, the elder",Male,Edinburgh: Printed be [sic] Henrie Charteris,Printer,,,Jean,Calvin,John Knox | Church of Scotland,"The CL. Psalmes of David in meter. With prayers and catechisme, according to the forme used in the Kirk of Scotland. With sundrie other things qubilk [sic] fall be declared in the table next following the kalender.",Book of Common Order,Religion | Psalms,1596,2,The contents of this booke | The Prenter to the discreit Reider,Table of Contents | Printer to the Reader,,,No,16585,"Ane Almanack for the space of xxx.zeiris | The use of the epact, to knaw the age of the mone, the quarters, and the full Mone",Printer's device at last page,National Library of Scotland,EEBO
William,Barley,Male,"London: Printed by A. I. for William Barley, and are to be sold at his shop at the vpper end of Gratious street",Bookseller,Adam Islip,,William,Barley,,"The deligtful history of Celestina the faire. Daughter to the king of Thessalie Shewing how she was inchaunted by the three fairies: with the strange aduentures, trauels, chiualries, tournies, combats, victories, and loues of diuers wandring princes and knights errant, but especially of Sir Marcomyr of Tharsus, who did conquest hir by the sword, and enioied her afterwards in mariage, with the Thessalian kingdome for hir dowrie, and his perpetuall inheritance. Done out of French into English.",The deligtful history of Celestina the faire.,Prose | Romance,1596,1,"To the Worshipfull and his verie good friend, M. Barley of Petworth in Sussex, W.B. wisheth health and prosperitie",Dedication,M. Barley,,No,4910,,,The Huntington Library,EEBO
Ralph,Blower,Male,"At London: Printed for Thomas Purfoot, and Raph Blower",Printer,Thomas Purfoot,,A. T.,,,"A rich store-house or treasury for the diseased Wherein, are many approuedmedicines for diuers and sundry diseases, which haue been long hidden, and not come to light before this time. Now set foorth for the great benefit and comfort of the poorer sort of people that are not of abilitie to go to thephysitions. By A.T.",A rich storehouse or treasury for the diseased,,1596,1,"To the right Honorable Thomas Skinner, Lord Mayor of the City of London",Dedication,,,No,23606,,,The Huntington Library,EEBO
Clement,Knight,Male,"London: Printed by Valentine Simmes, for Clement Knight, and are to be sold at his shop at the little north doore of Paules",Bookseller,Valentine Simmes,C. M.,C. M.,,,The first part of the nature of a woman Fitly described in a Florentine historie. Composed by C.M.,The Nature of Woman,Women,1596,1,To my very good friend maister T.A. Gentleman of the middle temple,Dedication,T. A.,,No,17126.5,,,Bodleain Library,EEBO
Clement,Knight,Male,"London: Printed for Clement Knight, and are to be sold at his shop at the little north doore of S. Paules",Bookseller,J. Orwin,Chrystopher Middleton,Christopher,Middleton,,The historie of heauen containing the poeticall fictions of all the starres in the firmament: gathered from amongst all the poets and astronomers. By Chrystopher Middleton.,The Historie of Heaven,Constellations | Astronomy,1596,1,"To his very good friend master Robert Traps, C.K. wisheth health",Dedication,Robert Trappes,,No,17867,,Likely the same author of 17126.5,The Huntington Library,EEBO
Henry,Olney,Male,"At London: Printed for Henry Olney, and are to be sold at his shop in Fleetstreete, neer the Middle-temple gate",Bookseller,James Roberts,,Richard,Linche,,"Diella certaine sonnets, adioyned to the amorous poeme of Dom Diego and Gineura. By R.L. Gentleman.",,Verse,1596,1,"To the most worthily honoured, and vertuous beautified Lady, the ladie Anne Gremham, wife to the most noble, magnaninious, and woorthy knight, Sir Henry Glemham, &c. (Henry Olney)",Dedication,Anne Glemham (Sackville),,No,17091,,,The Huntington Library,EEBO
Clement,Knight,Male | Female,"At London: Printed by the Widow Orwin for Clement Knight, and are to be sold at his shop at the little north-doore of S. Paules Church",Bookseller,Widow Orwin,,C. M.,,Christopher Middleton,"The second part of the historie, called The nature of a woman contayning the end of the strife betwixt Perseus and Theseus. Compiled by C.M.",The Nature of a Woman,Prose | Gender,1596,1,To the curteous and friendly reader,To the Reader,,,No,17127,,Woman stationer,Bodleian Library,EEBO
